Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic,Daily_Revenue
152,6.74,14,4,106.62,97,1547.81
485,4.5,12,8,57.83,744,2084.68
398,9.09,6,6,91.76,636,3118.39
320,8.48,17,4,462.63,770,2912.2
156,7.44,17,2,412.52,232,1663.42
121,8.88,6,9,183.49,484,1155.18
238,9,11,4,331.35,156,2179.13
70,7.81,10,3,273.27,237,890.17
152,8.78,14,2,341.79,825,1704.94
171,7.73,7,5,344.51,135,2025.55
264,7.6,13,14,318.08,885,2099.66
380,7.14,16,9,140.39,892,2568.92
137,8.15,10,14,29.11,505,1367.08
422,3.69,7,4,233.23,186,1817.02
149,9.11,15,2,446.58,907,1707.13
409,9.04,16,5,289.05,947,3618.25
201,2.72,16,10,417.87,385,876.02
180,8.69,17,14,495.9,656,2167.08
199,3.47,11,2,90.17,887,962.96
358,5.01,15,13,348.97,806,2463.86
307,8.08,13,12,340.4,518,2445.85
393,3.71,9,3,490.18,651,2221.32
463,8.63,7,10,492.94,620,4368.39
343,8.74,17,3,346.47,452,3165.36
435,6.31,16,14,129.37,589,2580.95
241,2.55,10,4,401.29,121,770.84
493,4.65,17,8,62.44,831,2284.46
326,7.13,7,4,392.54,73,2416.98
210,9.86,7,10,456,673,2397.9
363,7.24,11,7,197.59,861,2745.29
71,4.45,16,4,319.01,534,399.54
302,7.26,15,10,220.77,105,2040.26
285,6.55,14,2,224.5,272,2260.56
394,8.35,9,11,162.08,681,3228.44
98,3.3,11,4,383.44,228,733.78
108,8.21,12,2,468.73,849,1526.31
219,6.56,16,3,470.97,483,2133.33
237,9.72,11,13,95.64,986,2441.69
320,5.06,13,9,438.62,499,1892.72
239,7.24,9,8,371.34,842,1909.37
495,9.49,17,3,133.89,933,4550.3
224,3.27,6,3,42.97,541,851.77
495,9.53,12,10,141.32,238,4188.8
100,7.66,8,14,456.98,627,1177.41
413,3.01,11,14,320.26,859,1560.46
104,4.76,7,7,363.32,469,995.23
293,7.81,14,6,136,298,2273.88
369,3.01,6,11,362.5,637,1271.51
180,6.87,11,7,23.78,698,1156.98
356,5.09,11,10,193.91,213,1778.23
184,7.16,10,12,317.11,794,1428.1
70,2.84,10,8,81.59,304,299.11
378,9.04,6,11,413.27,525,3672.71
216,9.8,15,11,125.17,855,2253.21
323,9.77,17,10,329.62,466,3162.38
437,8.12,10,5,208.55,219,3553.46
138,3.48,7,3,302.06,366,571.57
365,8.19,12,13,62.65,223,2729.42
63,2.68,8,9,18.29,519,272.13
291,2.67,9,5,455.69,394,1492.41
314,4.93,8,14,142.12,494,1717.36
395,6.16,8,10,411.64,67,2968.22
102,8.28,9,5,499.68,119,1420.47
