지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi)
108,서울,2022-01-01,-4.3,-10.2,710,2.3,1544
108,서울,2022-01-02,-1.3,-5.2,2356,3,1551
108,서울,2022-01-03,-1.9,-8,714,2.5,1542
108,서울,2022-01-04,-2.5,-5.6,2400,1,1445
108,서울,2022-01-05,-2.8,-7.8,634,1.9,1518
108,서울,2022-01-06,-2.2,-5.9,745,3.3,1604
108,서울,2022-01-07,-1.6,-5.9,634,4.5,1525
108,서울,2022-01-08,0.3,-5,729,3.7,1623
108,서울,2022-01-09,1.3,-1.2,2353,5.6,1522
108,서울,2022-01-10,0.5,-3.4,735,4.4,1348
108,서울,2022-01-11,-7.4,-10.3,2326,0.3,1
108,서울,2022-01-12,-7.7,-11.3,223,-3.4,1521
108,서울,2022-01-13,-6.4,-8.9,2352,-3.1,1456
108,서울,2022-01-14,-4.8,-10.1,750,1.3,1526
108,서울,2022-01-15,-1,-5.3,426,1.8,1545
108,서울,2022-01-16,-2,-7.2,2352,2.4,208
108,서울,2022-01-17,-5.8,-9.2,518,0.1,1317
108,서울,2022-01-18,-5.6,-9.9,744,-0.7,1514
108,서울,2022-01-19,-5.3,-7.7,2357,-2.7,1558
108,서울,2022-01-20,-5,-9.8,605,0.9,1603
108,서울,2022-01-21,-2.7,-8.7,755,4.6,1534
108,서울,2022-01-22,0.3,-5,734,7.1,1512
108,서울,2022-01-23,2,-0.6,549,6.7,1411
108,서울,2022-01-24,4.6,1.3,1,8.4,1329
108,서울,2022-01-25,2.8,1.9,822,4.5,1
108,서울,2022-01-26,1.3,-1.9,639,6.8,1429
108,서울,2022-01-27,-1.1,-4.6,757,4,1541
108,서울,2022-01-28,-2.7,-5.9,811,2.1,1516
108,서울,2022-01-29,-3.6,-7.2,741,0.9,1531
108,서울,2022-01-30,-2.8,-8,713,2.4,1629
108,서울,2022-01-31,-0.7,-6.8,736,4.8,1507
108,서울,2022-02-01,-1.3,-2.7,2345,0.9,1601
108,서울,2022-02-02,-3.4,-6,541,0,1529
108,서울,2022-02-03,-3.4,-6.9,746,0.4,1458
108,서울,2022-02-04,-5.2,-8.2,2356,-0.7,1404
108,서울,2022-02-05,-6.6,-9.7,742,-2,1508
108,서울,2022-02-06,-3.9,-8.4,500,1.7,1537
108,서울,2022-02-07,-2.5,-7.3,510,1.9,1259
108,서울,2022-02-08,-0.1,-4.1,629,5.6,1555
108,서울,2022-02-09,1,-4.3,757,7.2,1400
108,서울,2022-02-10,1.4,-3.2,707,6.7,1544
108,서울,2022-02-11,2.9,-2.6,740,8.8,1449
108,서울,2022-02-12,4.8,-0.1,727,10.4,1605
108,서울,2022-02-13,4.8,1.6,330,9.5,1616
108,서울,2022-02-14,2.5,-1.3,2352,8.1,1248
108,서울,2022-02-15,-4.7,-7.7,2321,-1.3,1
108,서울,2022-02-16,-7.3,-9.6,2400,-4.1,1526
108,서울,2022-02-17,-6.2,-10.7,752,-0.5,1554
108,서울,2022-02-18,-1.2,-8,716,5.7,1531
108,서울,2022-02-19,-1.7,-6.2,2345,3.7,1403
108,서울,2022-02-20,-4.8,-8.4,703,-0.5,1548
108,서울,2022-02-21,-3,-8.1,623,3.6,1415
108,서울,2022-02-22,-4.5,-8,2400,0.5,1438
108,서울,2022-02-23,-5.6,-10,721,-0.6,1623
108,서울,2022-02-24,-2.4,-8.5,508,3.7,1454
108,서울,2022-02-25,3,-3.6,716,8.4,1537
108,서울,2022-02-26,5.4,1,2355,9.3,1313
108,서울,2022-02-27,3.7,-1.6,730,9.1,1513
108,서울,2022-02-28,6.8,2.7,48,11.5,1626
108,서울,2022-03-01,5.8,0.3,2355,9.7,1616
108,서울,2022-03-02,3.5,-2.3,611,8.8,1256
108,서울,2022-03-03,5.8,0.9,720,12.4,1413
108,서울,2022-03-04,6.9,0.6,652,14.6,1338
108,서울,2022-03-05,2.3,-0.7,2341,6.7,1600
108,서울,2022-03-06,1.4,-3,629,6.8,1603
108,서울,2022-03-07,2.8,-2.7,703,8.7,1505
108,서울,2022-03-08,6,1.1,307,12.3,1455
108,서울,2022-03-09,7.1,1.7,706,14.8,1520
108,서울,2022-03-10,9.3,4.2,658,15.8,1534
108,서울,2022-03-11,11.2,5.1,641,18.4,1544
108,서울,2022-03-12,12.8,6.3,632,19.5,1408
108,서울,2022-03-13,11.7,10.7,111,12.6,1
108,서울,2022-03-14,8.2,4.9,2350,13.2,1205
108,서울,2022-03-15,7.2,2.3,702,13.3,1538
108,서울,2022-03-16,10.3,3.6,703,16.8,1513
108,서울,2022-03-17,10.7,7.8,2333,15.1,1413
108,서울,2022-03-18,7.5,5.5,2356,9.6,1246
108,서울,2022-03-19,3.4,0.9,721,6.1,1557
108,서울,2022-03-20,5.4,2.2,2400,9.3,1556
108,서울,2022-03-21,5,-0.3,640,10.9,1355
108,서울,2022-03-22,7.1,1.1,637,13.6,1617
108,서울,2022-03-23,6.2,4.9,616,8.2,1615
108,서울,2022-03-24,8.2,3.9,453,12.4,1459
108,서울,2022-03-25,12,6.3,559,17.2,1549
108,서울,2022-03-26,11.8,9.5,959,14.7,1735
108,서울,2022-03-27,8.1,5,2354,12.6,1432
108,서울,2022-03-28,8.2,1.5,611,15.1,1600
108,서울,2022-03-29,9.7,3.3,533,15.6,1545
108,서울,2022-03-30,10.8,5.9,629,15.7,1209
108,서울,2022-03-31,10.9,7.6,2352,14.7,1421
108,서울,2022-04-01,9.2,4.5,620,14.9,1347
108,서울,2022-04-02,8.2,3.7,618,14.2,1444
108,서울,2022-04-03,9.6,3.5,629,17,1527
108,서울,2022-04-04,10.3,5.1,638,16.4,1328
108,서울,2022-04-05,10.3,4.9,615,15.8,1409
108,서울,2022-04-06,11.7,8,600,17,1431
108,서울,2022-04-07,10.9,7.4,2359,15.7,1310
108,서울,2022-04-08,12.9,5.1,612,20,1521
108,서울,2022-04-09,17.8,12.4,751,24.2,1418
108,서울,2022-04-10,18.2,12.7,614,25.1,1501
108,서울,2022-04-11,19.6,13.4,556,26.6,1529
108,서울,2022-04-12,19.3,15.9,2358,26.4,1449
108,서울,2022-04-13,13.1,12,2135,15.9,1
108,서울,2022-04-14,13.2,11.4,2335,15.3,1411
108,서울,2022-04-15,13.3,7.5,627,19.3,1602
108,서울,2022-04-16,13.2,7.1,557,20.2,1513
